schema_version,creative_id,concept_id,prompt_id,language,market_id,hook_text,voiceover_media_id,final_media_id,edit_recipe_path,duration_ms,aspect_ratio,status,created_at_utc,supersedes_creative_id,content_sha256
1,crv_20260718_dia001en,cpt_20260716_dia001,prm_20260716_dia001,en,np-plus-diaspora,One family. Two time zones.,,,marketing/creative/campaigns/launch-001/product-motion/dia001.html,17200,9:16,rejected,2026-07-18T11:54:20Z,,
1,crv_20260718_dia001en02,cpt_20260716_dia001,prm_20260716_dia001,en,np-plus-diaspora,One family. Two time zones.,,,marketing/scripts/render-dia001-veo-swift-proof.sh,8000,9:16,rejected,2026-07-18T12:18:11Z,crv_20260718_dia001en,0b8ef20622ea3e738c30fe623f37dd49814bca5b630fe9d325076eb3112989d4
1,crv_20260718_dia001en03,cpt_20260716_dia001,prm_20260716_dia001,en,np-plus-diaspora,One family. Two time zones.,,,marketing/creative/campaigns/launch-001/dia001-full-veo-demo-script.md,24000,9:16,draft,2026-07-18T12:34:37Z,crv_20260718_dia001en02,b4b13a1218a2ebe00c2f40992e73d2bfb778de10b59c3f678d58a9ac129d23e2
