document_key,drive_file_id,drive_url,parent_folder_key,source_path,source_git_sha,sha256,bytes,uploaded_at_utc,verified_at_utc,status
marketing_goals,1I_KeumiYdHvpnBfPAyojaFcrHY6ayqWf,https://drive.google.com/file/d/1I_KeumiYdHvpnBfPAyojaFcrHY6ayqWf/view?usp=drivesdk,start_here,marketing/GOALS.md,1c516f93563a97975ad6e6586066d3953bfadff2,1faf734147e2b5fc51f002eb3a3ff39071b9f981a8f27fb5166609a6bab80039,2993,2026-07-16T12:39:58.761Z,2026-07-16T12:50:50Z,verified_snapshot
marketing_readme,1E-BY1PjK9RTdXinuYNsh6Mw0ySvgCS1e,https://drive.google.com/file/d/1E-BY1PjK9RTdXinuYNsh6Mw0ySvgCS1e/view?usp=drivesdk,start_here,marketing/README.md,1c516f93563a97975ad6e6586066d3953bfadff2,0e8b5d7ec75fb80ab64a202c39f0faa69db2848c26d348c0f80e0a0e48b41b49,2849,2026-07-16T12:40:09.482Z,2026-07-16T12:50:50Z,verified_snapshot
drive_runbook,1cL_2I9h8s_29ipeIMpvoYhp7RegUzwSQ,https://drive.google.com/file/d/1cL_2I9h8s_29ipeIMpvoYhp7RegUzwSQ/view?usp=drivesdk,start_here,marketing/operations/google-drive.md,1c516f93563a97975ad6e6586066d3953bfadff2,f1e6367a58d178ddf5b72636017cc92b372bf884a35441c96772d9c53ad9784b,3143,2026-07-16T12:40:19.903Z,2026-07-16T12:50:50Z,verified_snapshot
